,players,Nationality,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
90,RS Kaluwitharana, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,140,144,293,978,1143,1622,2504,2766,3349,3504,3709,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711
91,DR Martyn, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,136,166,166,166,166,280,730,1262,1679,2397,3275,3886,4691,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346
92,LPC Silva, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,95,134,134,134,134,165,1043,1324,1324,1437,1587,1587,1587,1587,1587,1587,1587,1587,1587
93,HH Dippenaar, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,236,712,1587,2066,2322,2693,3344,3421,3421,3421,3421,3421,3421,3421,3421,3421,3421,3421,3421,3421
94,Fakhar Zaman, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,1275,1642
95,SD Hope, (WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,787,1662,2247
96,Babar Azam, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,886,1758,2267,2739
97,Shahid Afridi, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,1155,1604,2069,2673,3128,3871,3887,4125,4765,4880,5239,5517,5830,6431,6893,7075,7516,7870,8064,8064,8064,8064,8064
98,Imrul Kayes, (BDESH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,894,1315,1315,1315,1390,1548,1873,1998,2434,2434
99,Rameez Raja, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,1017,1854,2273,2840,3263,3503,4368,4915,4915,5257,5396,5841,5841,5841,5841,5841,5841,5841,5841,5841,5841,5841,5841,5841,5841,5841,5841,5841,5841,5841,5841,5841,5841,5841
